x,y,z,cosx,cosy,cosz,element,stage,raynum
-0.0641,0.769,0.0141,1e-16,0e+00,-1,76,1,145
-0.0636,0.0251,1.5,0.000296,-0.448,0.894,-2,1,145
0.0738,-0.614,0.00547,1e-16,0e+00,-1,14,1,146
-0.0683,-0.0304,1.5,-0.0882,0.362,0.928,-2,1,146
-0.0206,-0.773,0.0149,1e-16,0e+00,-1,6,1,147
-0.0137,-0.0291,1.5,0.00414,0.448,0.894,-2,1,147
-0.221,-0.614,0.0028,1e-16,0e+00,-1,11,1,148
0.0741,-0.0148,1.5,0.18,0.366,0.913,-2,1,148
0.262,-0.771,0.0123,1e-16,0e+00,-1,8,1,149
-0.0327,-0.0218,1.5,-0.174,0.443,0.879,-2,1,149
0.314,-0.0581,0.00286,1e-16,0e+00,-1,43,1,150
0.0283,-0.0594,1.5,-0.188,-0.000885,0.982,-2,1,150
-0.166,-0.47,0.00734,1e-16,0e+00,-1,19,1,151
-0.0277,-0.0357,1.5,0.0886,0.278,0.956,-2,1,151
-0.158,-0.611,0.00882,1e-16,0e+00,-1,12,1,152
-0.0143,-0.0221,1.5,0.0895,0.366,0.926,-2,1,152
0.262,-0.457,0.00238,1e-16,0e+00,-1,22,1,153
-0.0297,-0.0146,1.5,-0.184,0.279,0.943,-2,1,153
-0.421,0.599,0.00518,1e-16,-3e-17,-1,66,1,154
0.0298,-0.00113,1.5,0.269,-0.359,0.894,-2,1,154
-0.00956,0.725,0.00353,1e-16,0e+00,-1,76,1,155
-0.016,-0.0292,1.5,-0.00386,-0.45,0.893,-2,1,155
0.321,0.525,-0.00462,1e-16,0e+00,-1,71,1,156
0.0217,-0.067,1.5,-0.182,-0.36,0.915,-2,1,156
0.122,-0.66,-0.0127,1e-16,-3e-17,-1,7,1,157
-0.0277,0.0921,1.5,-0.0884,0.444,0.892,-2,1,157
0.182,-0.186,0.00398,1e-16,7e-18,-1,35,1,158
0.0423,-0.0435,1.5,-0.0924,0.0946,0.991,-2,1,158
-0.317,0.465,0.00865,1e-16,0e+00,-1,60,1,159
-0.0215,0.0289,1.5,0.187,-0.276,0.943,-2,1,159
-0.131,-0.171,0.000868,1e-16,7e-18,-1,33,1,160
0.0116,-0.0239,1.5,0.0941,0.0975,0.991,-2,1,160
-0.114,-0.586,0.00211,1e-16,0e+00,-1,12,1,161
0.0411,0.00414,1.5,0.0957,0.365,0.926,-2,1,161
0.123,0.289,-0.000441,1e-16,0e+00,-1,56,1,162
-0.0193,0.00188,1.5,-0.0925,-0.187,0.978,-2,1,162
0.315,0.737,0.00934,1e-16,0e+00,-1,78,1,163
0.0181,-0.0194,1.5,-0.175,-0.446,0.878,-2,1,163
-0.00291,0.605,0.00702,1e-16,0e+00,-1,69,1,164
-0.00112,0.0255,1.5,0.00112,-0.362,0.932,-2,1,164
-0.0821,-0.631,0.00909,1e-16,0e+00,-1,12,1,165
0.0692,-0.0483,1.5,0.0941,0.362,0.927,-2,1,165
0.449,-0.464,0.00867,1e-16,3e-17,-1,23,1,166
0.00396,-0.0299,1.5,-0.275,0.269,0.923,-2,1,166
0.113,0.715,-9e-05,1e-16,3e-17,-1,77,1,167
-0.0356,-0.0351,1.5,-0.0884,-0.446,0.891,-2,1,167
0.32,-0.527,-0.0044,1e-16,0e+00,-1,15,1,168
